地名,センター,燃やせるごみ,燃やせないごみ,資源物,有害ごみ,粗大ごみ
緑ケ丘,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
南阿賀野,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
見晴町,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
宮ケ谷戸,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
本住町,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
矢島,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
谷之,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
横瀬,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
二ツ小屋,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
前小屋,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
今泉,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
後榛沢,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
岡,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
岡里,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
岡部,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
櫛引,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
沓掛,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
西田,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
針ヶ谷,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
榛沢,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
榛沢新田,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
普済寺,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
本郷,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
山河,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
山崎,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
川本明戸,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
上原,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
白草台,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
菅沼,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
瀬山,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
田中,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
長在家,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
畠山,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
本田,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
武川,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
荒川,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
小前田,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
北根,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
黒田,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
永田,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
武蔵野,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
